set.p,set.c,cluster.p(FWE-corr),cluster.p(FDR-corr),cluster.equivk,cluster.p(unc),peak.p(FWE-corr),peak.p(FDR-corr),peak.T,peak.equivZ,peak.p(unc),X,Y,Z
0.251,11,0.983,0.934,121,0.187,0.339,0.738,4.02,3.93,0,0,-42,-36
,,,,,,1,0.954,2.46,2.44,0.007,2,-48,-44
,,0,0,3479,0,0.439,0.738,3.91,3.83,0,4,6,62
,,,,,,0.536,0.738,3.82,3.74,0,18,10,60
,,,,,,0.618,0.738,3.75,3.67,0,52,22,14
,,0.951,0.888,155,0.138,0.947,0.738,3.34,3.28,0.001,54,-46,4
,,,,,,0.997,0.738,3.07,3.02,0.001,62,-34,8
,,0.778,0.765,244,0.069,0.956,0.738,3.32,3.26,0.001,-30,-62,48
,,,,,,0.993,0.738,3.12,3.08,0.001,-38,-54,52
,,0.999,0.934,73,0.302,0.965,0.738,3.29,3.23,0.001,22,-46,22
,,0.961,0.888,147,0.148,0.969,0.738,3.27,3.22,0.001,-34,-72,-22
,,,,,,0.999,0.738,3,2.96,0.002,-26,-78,-20
,,0.797,0.765,236,0.073,0.995,0.738,3.09,3.04,0.001,44,-36,54
,,,,,,0.999,0.738,2.95,2.91,0.002,28,-66,46
,,,,,,1,0.738,2.89,2.85,0.002,46,-42,42
,,0.735,0.765,261,0.061,0.997,0.738,3.05,3.01,0.001,36,-66,20
,,,,,,1,0.738,2.91,2.87,0.002,40,-78,2
,,,,,,1,0.738,2.87,2.83,0.002,28,-72,16
,,0.951,0.888,155,0.138,0.998,0.738,3.03,2.99,0.001,-8,-6,16
,,1,0.934,55,0.371,0.999,0.738,3,2.95,0.002,38,-58,-8
,,0.996,0.934,90,0.252,1,0.738,2.87,2.83,0.002,-54,-44,26
,,,,,,1,0.885,2.68,2.65,0.004,-42,-42,20